log_id,user_id,query_category,query_content,query_time
5001,2013,课程,数据库系统什么时候上课,2025-09-16 08:15:00
5002,2014,课程,COMP130015.02 在哪个教室,2025-09-16 08:21:00
5003,2016,课程,高等数学A 本学期有几个班次,2025-09-16 09:02:00
5004,2017,课程,线性代数周二是第几节,2025-09-16 09:15:00
5005,2018,课程,微观经济学老师是谁,2025-09-16 10:06:00
5006,2020,课程,新闻采访与写作在哪上课,2025-09-16 10:21:00
5007,2022,课程,法理学周三是不是在光华楼报告厅,2025-09-16 11:10:00
5008,2024,课程,大学英语综合周一几点开始,2025-09-16 11:33:00
5009,2028,课程,细胞生物学实验课在材料实验室吗,2025-09-16 13:12:00
5010,2030,课程,基础护理学有没有实验安排,2025-09-16 13:28:00
5011,2032,课程,集成电路概论是在张江上课吗,2025-09-16 14:07:00
5012,2038,课程,人工智能导论是每周上课吗,2025-09-16 14:31:00
5013,2013,设施,文科图书馆静音仓开放到几点,2025-09-16 15:05:00
5014,2014,设施,H2201 今天晚上能自习吗,2025-09-16 15:17:00
5015,2015,设施,江湾图书馆主阅览室周末开放吗,2025-09-16 15:44:00
5016,2017,设施,羽毛球馆需要预约吗,2025-09-16 16:08:00
5017,2021,设施,护理技能实验室在哪栋楼,2025-09-16 16:20:00
5018,2025,设施,张江学术报告厅怎么走,2025-09-16 16:52:00
5019,2027,设施,学生事务大厅工作时间,2025-09-16 17:03:00
5020,2033,设施,枫林图书馆研讨间能借用吗,2025-09-16 17:19:00
5021,2019,活动,计算与智能创新学院新生科研导引讲座还能报名吗,2025-09-17 08:12:00
5022,2020,活动,计算与智能创新学院数据库与数据智能竞赛宣讲会在哪举办,2025-09-17 08:35:00
5023,2024,活动,英语角秋季专场几点结束,2025-09-17 09:02:00
5024,2026,活动,江湾羽毛球挑战赛面向新手吗,2025-09-17 09:28:00
5025,2029,活动,护理技能工作坊需要提前准备什么,2025-09-17 10:10:00
5026,2032,活动,集成电路与微纳电子创新学院张江芯片设计分享会主讲内容是什么,2025-09-17 10:37:00
5027,2035,活动,公共政策圆桌论坛的地点在哪,2025-09-17 11:16:00
5028,2044,活动,信息科学与工程创新学院开放实验室日可以旁听吗,2025-09-17 11:41:00
5029,2013,教师,陈明远老师教哪些课,2025-09-17 13:06:00
5030,2016,教师,李晓岚老师本学期开了几门课,2025-09-17 13:24:00
5031,2020,教师,王静怡老师负责哪个班次,2025-09-17 13:49:00
5032,2022,教师,郑雨桐老师在哪个时间段上课,2025-09-17 14:20:00
5033,2030,教师,高若琳老师这周有实验课吗,2025-09-17 14:43:00
5034,2032,教师,彭思远老师在张江校区上课吗,2025-09-17 15:05:00
5035,2014,校区,张江校区有哪些教学楼,2025-09-17 15:42:00
5036,2017,校区,邯郸校区图书馆在哪个区域,2025-09-17 16:03:00
5037,2021,校区,江湾校区有没有体育馆,2025-09-17 16:19:00
5038,2024,校区,枫林校区有哪些适合自习的地方,2025-09-17 16:41:00
5039,2034,校区,四个校区里哪个校区有微电子实验室,2025-09-17 17:02:00
5040,2048,校区,邯郸校区学生服务中心在哪,2025-09-17 17:25:00
5041,2015,建筑,第二教学楼里有哪些教室,2025-09-18 08:18:00
5042,2018,建筑,文科图书馆属于哪个校区,2025-09-18 08:47:00
5043,2020,建筑,先进材料实验楼可以做什么实验,2025-09-18 09:21:00
5044,2023,建筑,张江学生服务中心周末开吗,2025-09-18 09:46:00
5045,2028,建筑,护理学院教学楼里有报告厅吗,2025-09-18 10:12:00
5046,2031,建筑,江湾图书馆和第一教学楼离得远吗,2025-09-18 10:31:00
5047,2038,建筑,光华楼东辅楼可以办活动吗,2025-09-18 11:08:00
5048,2043,建筑,旦苑食堂在午饭高峰几点最忙,2025-09-18 11:33:00
5049,2013,用户,怎么查看我参加过的活动,2025-09-18 13:12:00
5050,2014,用户,我的历史查询记录在哪里看,2025-09-18 13:29:00
5051,2017,用户,能不能按院系筛选老师,2025-09-18 13:55:00
5052,2020,用户,系统里可以区分教师和学生吗,2025-09-18 14:18:00
5053,2026,用户,我能修改个人院系信息吗,2025-09-18 14:46:00
5054,2030,用户,如何查看某位老师的开课信息,2025-09-18 15:07:00
5055,2035,用户,用户表里有没有专业字段,2025-09-18 15:26:00
5056,2048,用户,活动参与状态在哪里显示,2025-09-18 15:58:00
5057,2016,统计,本学期开课最多的是哪个学院,2025-09-19 08:09:00
5058,2018,统计,哪个校区的设施数量最多,2025-09-19 08:37:00
5059,2021,统计,最近最常被查询的课程是什么,2025-09-19 09:04:00
5060,2024,统计,活动报名人数最多的是哪场,2025-09-19 09:28:00
5061,2029,统计,周一上午的课程数量有多少,2025-09-19 10:03:00
5062,2033,统计,哪些建筑里的设施最丰富,2025-09-19 10:31:00
